"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Merrifield, Whit","593160","559","15.6",42.2,"104.8","87.1","96.3","90.6","82.9","434","183","392","163",29.2,"25",4.5,3.4
"Semien, Marcus","543760","556","14.9",34,"108.2","88.9","98.4","93.3","85.5","438","182","401","209",38.1,"47",8.5,6.3
"Castro, Starlin","516770","534","11",29.6,"113.3","88.5","99.3","91.5","87.4","438","161","399","201",37.7,"33",6.2,4.9
"Fletcher, David","664058","534","9.9",37.5,"104.5","83.8","93.2","86.5","82.8","413","162","375","90",17.1,"1",0.2,0.2
"Albies, Ozzie","645277","532","15.6",36.8,"110.8","88.9","98.2","91.4","86.3","444","190","395","181",34,"35",6.6,5
"Devers, Rafael","646240","531","10.5",33.1,"115","92.5","103.3","96.4","90","458","176","403","257",48.5,"48",9,6.8
"Pillar, Kevin","607680","529","14.1",32.9,"111.7","86.4","98","90.8","84","440","163","400","163",30.8,"26",4.9,4
"Polanco, Jorge","593871","524","19.1",41.4,"108.2","88","97.5","91.7","83.3","424","208","393","172",33.1,"35",6.7,5
"LeMahieu, DJ","518934","517","6.6",36.2,"111.1","91.9","101.3","95.3","89.5","446","161","386","252",48.7,"39",7.5,6
"Hernández, César","514917","516","9.5",31.8,"108.4","86","96.1","88.5","85.6","424","147","391","146",28.3,"14",2.7,2.1
"Escobar, Eduardo","500871","516","18.4",38.6,"106.9","87.8","96.8","91.1","83.8","433","212","393","162",31.4,"36",7,5.2
"Andrus, Elvis","462101","514","7.2",32.5,"110.2","88.4","98","90.6","87.6","447","151","402","178",34.8,"18",3.5,2.8
"Brantley, Michael","488726","513","10.6",36.3,"108.9","88.8","98.9","92.4","87.1","438","165","394","187",37.3,"28",5.5,4.4
"Lindor, Francisco","596019","507","12.3",29.6,"113.5","91","101.1","93.7","90.4","437","174","397","207",41,"38",7.5,5.8
"Segura, Jean","516416","507","7.2",31,"113.1","88.2","98.1","90.6","87.8","427","149","389","166",32.7,"16",3.2,2.6
"Betts, Mookie","605141","505","19",39.4,"109.3","91","100.6","94.1","88.3","438","206","391","239",47.4,"52",10.3,7.4
"Gurriel, Yuli","493329","505","14.3",33.5,"110.6","89.3","99.1","91.4","90.4","450","173","387","188",38.1,"18",3.6,2.9
"Arenado, Nolan","571448","503","17.7",34.6,"109.9","89.4","99.2","92.9","87.9","463","192","406","189",37.6,"40",8,6
"Bogaerts, Xander","593428","498","13.3",35.1,"112.4","90.7","101.2","94.3","88.6","451","184","397","221",44.5,"43",8.6,6.2
"Rosario, Amed","642708","497","8.8",34.8,"110.3","89.4","98.8","91.7","88.2","428","161","396","195",39.5,"21",4.2,3.2
"Abreu, José","547989","492","10.9",35.2,"117.9","92.1","103.1","96.1","89.6","447","168","404","237",48.2,"63",12.8,9.1
"Marte, Ketel","606466","485","11.5",34.4,"116.3","90","101.1","93.5","87.8","482","174","407","194",40,"45",9.3,7.2
"Frazier, Adam","624428","484","13.1",36.2,"106.1","87.1","96.1","89.4","86","423","174","391","136",28.3,"9",1.9,1.5
"Rosario, Eddie","592696","482","16.8",33.2,"108.6","89.2","98.4","93.9","85","433","188","392","172",36,"41",8.5,6.9
"Blackmon, Charlie","453568","481","14.6",36.8,"110.6","88.7","99.7","92.8","85","464","189","412","194",40.3,"40",8.3,6.3
"Alberto, Hanser","593643","480","11.9",32.5,"103.6","84.4","94.2","86.9","83.2","418","156","395","89",18.5,"14",2.9,2.5
"Bregman, Alex","608324","479","19.6",35.5,"107.4","89.3","98.4","92.3","88","440","202","382","178",38,"23",4.8,3.3
"Castellanos, Nick","592206","475","13.9",39.8,"111.2","88.9","99.9","93.9","83.2","436","197","394","196",41.5,"52",10.9,7.8
"Eaton, Adam","594809","472","15.3",33.9,"110.7","88.9","98.7","91.6","88","444","180","392","162",34.3,"18",3.8,2.7
"Villar, Jonathan","542340","472","8.2",30.3,"114","88.9","100.1","92.8","87.5","456","157","412","175",37.1,"32",6.8,4.5
"Freeman, Freddie","518692","472","14.4",40,"112","89.7","100.3","93.8","85.1","446","192","404","200",42.5,"58",12.3,8.4
"Rendon, Anthony","543685","468","19.5",38.7,"107.7","90.4","100.1","93.5","88.3","431","208","398","218",46.6,"56",12,8.7
"Santana, Carlos","467793","467","11.7",29.1,"112.8","91.8","101.7","93.5","91.9","426","171","396","209",44.9,"45",9.6,6.6
"Mancini, Trey","641820","464","7.8",36.4,"113.9","90.3","101.6","95.8","85.7","438","172","404","198",42.7,"48",10.3,7.1
"Gordon, Alex","460086","463","9.3",33.7,"110.6","88.7","98.7","92.5","85.5","454","170","399","178",38.4,"25",5.4,3.9
"Machado, Manny","592518","462","13",31.2,"112.6","91.2","102.1","94.5","91.6","455","178","400","202",43.7,"37",8,5.6
"Hosmer, Eric","543333","461","2.1",28.9,"114.3","90.8","102.1","94.1","88.9","432","137","402","212",46,"33",7.2,4.9
"Cain, Lorenzo","456715","460","6.9",31.1,"110.4","89.5","100.2","91.6","89.2","433","148","403","190",42.1,"19",4.1,3
"Ahmed, Nick","605113","456","7.6",35.5,"108.3","87.8","97.7","91.8","84.6","443","161","410","155",34,"30",6.6,4.8
"Bellinger, Cody","641355","455","17.9",39.6,"110.6","91.1","101.2","95","86.4","442","207","405","207",45.9,"58",12.7,8.8
"García, Leury","544725","452","6.2",30.1,"108.5","88.2","97.2","90.8","86.6","431","142","408","135",29.9,"17",3.8,2.8
"Marte, Starling","516782","451","8.2",30.8,"111.6","88.6","100.2","93.8","85.3","455","159","404","171",38.6,"36",8,6.1
"Reddick, Josh","502210","445","15.8",35.7,"107.7","86.1","96.7","88.8","85.3","436","174","386","127",29.4,"15",3.4,2.7
"Pham, Tommy","502054","445","5.2",29.7,"113.3","90.9","101.8","95.4","88.4","458","149","406","200",45,"35",7.9,5.4
"Martinez, J.D.","502110","442","12.5",41.9,"112.6","91.4","102.3","95.1","87.6","434","192","403","213",48.3,"53",12,8.1
"DeJong, Paul","657557","440","18.3",33,"111.7","87","98.2","92.9","82","462","192","410","146",33.9,"38",8.6,5.7
"Chapman, Matt","656305","439","16.6",25.1,"114.4","92.7","103.5","97.1","91","453","185","408","211",49,"53",12.1,7.9
"Acuña Jr., Ronald","660670","439","14.2",40.5,"115.9","90.6","103.4","95.6","84.8","466","191","416","208",47.4,"66",15,9.2
"Iglesias, Jose","578428","437","7.1",29.5,"107.7","84.1","94.7","87.3","83.2","423","136","389","102",24.2,"10",2.3,1.9
"McNeil, Jeff","643446","436","13.8",34.2,"107.2","89","98.1","92.2","87.1","444","172","392","160",36.7,"21",4.8,3.7
"Goldschmidt, Paul","502671","434","15.4",36.4,"111.5","90.1","101.1","94.5","86.1","464","198","410","182",42.4,"49",11.3,7.2
"Newman, Kevin","621028","434","8.5",33.4,"107.1","85.3","95","87.9","83.7","426","150","399","107",24.8,"9",2.1,1.7
"Pujols, Albert","405395","431","12.5",26.5,"112.3","88.3","98.7","92.2","87.2","438","167","403","155",36.6,"25",5.8,4.6
"Rizzo, Anthony","519203","429","12.6",36.8,"113.4","89","100.2","92.5","87","472","176","401","158",37,"29",6.8,4.7
"Kepler, Max","596146","429","18.2",30.5,"112.5","89.7","100.8","92.9","88.8","438","195","392","179",42.1,"38",8.9,6.4
"Moustakas, Mike","519058","427","17.4",32.3,"112.9","89.5","100.6","93.8","87","459","193","402","173",40.8,"44",10.3,7.5
"Rojas, Miguel","500743","427","9.1",31.9,"109.2","87.4","96.9","89.3","86.3","415","155","399","123",28.8,"11",2.6,2.1
"Puig, Yasiel","624577","426","13.8",30,"114.4","90","101","94.1","88","455","182","410","162",39.1,"39",9.2,6.4
