"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","618","12.2",36.9,"107.8","86.1","93.6","87.6","85.1","402","152","370","103",16.7,"7",1.1,1
"Kwan, Steven","680757","575","15.6",39.3,"104.2","86.2","94.4","87.8","85.1","431","167","381","111",19.3,"11",1.9,1.6
"Hoerner, Nico","663538","554","12.5",36.1,"108.1","86.7","96.7","89.3","85.8","412","155","379","168",30.3,"13",2.3,2
"Perdomo, Geraldo","672695","533","15.5",36,"108.2","87.6","97.4","90.3","86.6","423","165","393","170",31.9,"33",6.2,4.6
"Betts, Mookie","605141","531","18",37.7,"108.4","89.1","98.1","91.6","86","412","191","390","190",35.8,"29",5.5,4.4
"Ramírez, José","608070","525","19.2",36.4,"111.6","88.9","99.1","91.9","88.4","420","183","380","194",37,"37",7,5.5
"Lindor, Francisco","596019","520","15.1",34.6,"112.9","90.5","100.8","95","86.5","425","175","390","231",44.4,"46",8.8,6.3
"Pasquantino, Vinnie","686469","519","16.3",33.5,"114.4","90.9","101.3","94.1","89","448","178","399","232",44.7,"56",10.8,8.2
"Garcia, Maikel","672580","519","9.7",34.5,"110.3","91.3","101.3","93.9","90.6","428","161","399","234",45.1,"29",5.6,4.4
"Albies, Ozzie","645277","514","18.7",33.5,"109.9","87.5","96.9","91.3","84.5","435","170","380","158",30.7,"25",4.9,3.7
"Bellinger, Cody","641355","507","18.5",37.1,"110.2","88.3","98.7","91.7","84.4","451","190","386","192",37.9,"38",7.5,5.8
"Witt Jr., Bobby","677951","505","15.2",35.4,"117.5","93.3","103.9","96.2","91.6","456","183","411","245",48.5,"63",12.5,9.2
"Rodríguez, Julio","677594","502","8.5",31.5,"115.8","91.8","103.7","96","88.6","442","159","403","241",48,"49",9.8,6.9
"Guerrero Jr., Vladimir","665489","499","7.8",33.7,"120.4","92","104.8","95.7","90.7","448","155","405","253",50.7,"61",12.2,9
"Clement, Ernie","676391","496","17.9",36.9,"108.9","86.6","96","89.3","84.2","409","175","388","129",26,"12",2.4,2
"Díaz, Yandy","650490","496","5",29.2,"113.6","93","104.8","96.4","91.6","435","142","379","260",52.5,"41",8.3,6.3
"Bichette, Bo","666182","494","8.2",37.9,"112.3","91","101.8","95","88.1","434","163","397","241",48.8,"39",7.9,6.2
"Harris II, Michael","671739","494","7.4",29.6,"114.1","90.2","103","94.2","88.1","451","149","411","214",43.4,"45",9.1,7
"Lee, Jung Hoo","808982","493","9.9",33.9,"107.2","87.1","97.2","89.6","85.9","413","153","381","158",32,"18",3.7,2.9
"Machado, Manny","592518","489","14.3",34.8,"114.8","92.9","103.4","96.9","89.7","452","180","396","252",51.5,"63",12.9,9.3
"Altuve, Jose","514888","486","17.7",29.6,"110.6","85.1","97.3","91.1","82.1","439","152","384","150",30.9,"30",6.2,4.6
"Turner, Trea","607208","484","9.1",34.7,"111.7","89.3","100.1","92.6","87","426","156","393","204",42.1,"28",5.8,4.4
"Caminero, Junior","691406","484","10.7",27.7,"116.7","92.4","104.5","97.7","89.8","447","157","392","249",51.4,"68",14,10.4
"Edwards, Xavier","669364","479","8.2",33,"109","86.8","96.8","88.5","86.3","402","142","378","141",29.4,"4",0.8,0.6
"Rooker, Brent","667670","473","16.4",39.7,"113.3","90.7","101.3","94.7","87.4","440","187","402","212",44.8,"65",13.7,9.3
"Friedl, TJ","670770","473","14.3",32.8,"107.6","87.1","97.5","91","85","415","154","385","152",32.1,"13",2.7,1.9
"Perez, Salvador","521692","473","18.1",35.7,"114.8","90","102.1","95","84.9","444","188","399","221",46.7,"70",14.8,10.9
"Alonso, Pete","624413","471","15.4",38.4,"115.9","93.5","105.1","98.4","88.3","447","185","408","256",54.4,"89",18.9,12.6
"Ramos, Heliot","671218","468","11.5",32.5,"116","91.8","102.5","95.4","89.3","439","168","403","222",47.4,"41",8.8,5.9
"Tatis Jr., Fernando","665487","467","9.4",28.9,"113.4","93.3","103.8","97","91.3","441","155","409","242",51.8,"51",10.9,7.4
"Naylor, Josh","647304","465","11.6",30.8,"117.9","89.2","100.1","92","87.6","450","161","393","195",41.9,"31",6.7,5.1
"Lopez, Otto","672640","465","8.4",32.5,"111.2","88.5","99.9","92.4","85.7","446","154","402","178",38.3,"33",7.1,5.6
